stat,pair,arm,simulated,draw_sd,model,observed,n
post_press_relief,costly_relief_vs_inert,placebo,0.5788438443257857,0.032703169424830585,M1,0.8842592592592593,216
post_press_relief,costly_relief_vs_inert,works,0.4435257204662687,0.02711486799646487,M1,0.5694444444444444,216
post_press_relief,destructive_relief_vs_inert,placebo,0.5455116449043889,0.027116982378109437,M1,0.9060773480662984,181
post_press_relief,destructive_relief_vs_inert,works,0.25287556980919074,0.023506396059720384,M1,0.3812154696132597,181
post_press_relief,kidspics_relief_vs_inert,placebo,0.7040900253338329,0.022153649592290995,M1,0.9361702127659575,235
post_press_relief,kidspics_relief_vs_inert,works,0.2070874148334989,0.02120282635400763,M1,0.23829787234042554,235
post_press_relief,label_free,placebo,0.6950051305054603,0.016719369144295185,M1,0.7974921630094044,1595
post_press_relief,label_free,works,0.2391107781736701,0.014243972332718863,M1,0.5768025078369906,1595
post_press_relief,relief_vs_grant,placebo,0.7208067685417374,0.019547255578872713,M1,0.8925925925925926,270
post_press_relief,relief_vs_grant,works,0.8369715248819449,0.015283084998142056,M1,0.7666666666666667,270
post_press_relief,relief_vs_helpful,placebo,0.20437877856632353,0.042526525187666586,M1,0.6111111111111112,72
post_press_relief,relief_vs_helpful,works,0.22074876324963996,0.043523559840320816,M1,0.25,72
post_press_relief,relief_vs_inert,placebo,0.8864390117463652,0.015928645496163765,M1,0.9786585365853658,328
post_press_relief,relief_vs_inert,works,0.9723710064955119,0.012043883929552917,M1,0.9878048780487805,328
post_press_relief,weights_relief_vs_inert,placebo,0.8153936113543165,0.02073273086091584,M1,0.940983606557377,305
post_press_relief,weights_relief_vs_inert,works,0.31656272836687815,0.026807888677674863,M1,0.4918032786885246,305
post_press_relief,zap_relief_vs_inert,placebo,0.8103810519963031,0.018452517291073063,M1,0.9726027397260274,292
post_press_relief,zap_relief_vs_inert,works,0.5005190117651073,0.021961359962389636,M1,0.5821917808219178,292
name_repetition,costly_relief_vs_inert,placebo,0.5645420792079208,0.009542552735743167,M0Q,0.693069306930693,1616
name_repetition,costly_relief_vs_inert,random,0.587190594059406,0.008600090892881355,M0Q,0.5736386138613861,1616
name_repetition,costly_relief_vs_inert,unsteered,0.6181930693069307,0.011138613861386147,M0Q,0.6639851485148515,1616
name_repetition,costly_relief_vs_inert,works,0.5933787128712871,0.011413682783865906,M0Q,0.619430693069307,1616
name_repetition,destructive_relief_vs_inert,placebo,0.5793626237623762,0.010189649204734438,M0Q,0.7090570719602978,1612
name_repetition,destructive_relief_vs_inert,random,0.6163985148514851,0.008658479601449337,M0Q,0.6319702602230484,1614
name_repetition,destructive_relief_vs_inert,unsteered,0.6866336633663367,0.007905306644886777,M0Q,0.7289603960396039,1616
name_repetition,destructive_relief_vs_inert,works,0.6018564356435643,0.010694417218617172,M0Q,0.6652227722772277,1616
name_repetition,kidspics_relief_vs_inert,placebo,0.5374071782178218,0.010334197420613951,M0Q,0.7351485148514851,1616
name_repetition,kidspics_relief_vs_inert,random,0.6401918316831683,0.009838658259677429,M0Q,0.6627475247524752,1616
name_repetition,kidspics_relief_vs_inert,unsteered,0.7003712871287129,0.0061246089549515485,M0Q,0.7388613861386139,1616
name_repetition,kidspics_relief_vs_inert,works,0.5867574257425743,0.0067088124757069415,M0Q,0.635519801980198,1616
name_repetition,label_free,placebo,0.5186173974540311,0.010686252867586442,M0Q,0.9112446958981613,2828
name_repetition,label_free,random,0.504508486562942,0.010067013005435083,M0Q,0.27523910733262485,2823
name_repetition,label_free,unsteered,0.507478783592645,0.01003388061762512,M0Q,0.0983026874115983,2828
name_repetition,label_free,works,0.5116159830268742,0.008708749179591914,M0Q,0.6364922206506365,2828
name_repetition,relief_vs_grant,placebo,0.5339108910891089,0.013940951944219461,M0Q,0.7252475247524752,1616
name_repetition,relief_vs_grant,random,0.5459158415841584,0.011934535868191796,M0Q,0.5191831683168316,1616
name_repetition,relief_vs_grant,unsteered,0.5116955445544554,0.010487951046591377,M0Q,0.5278465346534653,1616
name_repetition,relief_vs_grant,works,0.5476175742574257,0.012521095647576062,M0Q,0.6082920792079208,1616
name_repetition,relief_vs_helpful,placebo,0.694894801980198,0.005256451371648024,M0Q,0.7277227722772277,1616
name_repetition,relief_vs_helpful,random,0.6639542079207921,0.009942580945721384,M0Q,0.6540841584158416,1616
name_repetition,relief_vs_helpful,unsteered,0.6947091584158416,0.005686675811587907,M0Q,0.719059405940594,1616
name_repetition,relief_vs_helpful,works,0.6986386138613861,0.006960638426920729,M0Q,0.7172029702970297,1616
name_repetition,relief_vs_inert,placebo,0.5235457920792079,0.007776984311468877,M0Q,0.755569306930693,1616
name_repetition,relief_vs_inert,random,0.670204207920792,0.007918234487257774,M0Q,0.7233910891089109,1616
name_repetition,relief_vs_inert,unsteered,0.7018564356435644,0.004514403495688066,M0Q,0.7017326732673267,1616
name_repetition,relief_vs_inert,works,0.6631806930693069,0.010697620465765832,M0Q,0.7636138613861386,1616
name_repetition,weights_relief_vs_inert,placebo,0.5197710396039603,0.011382872390465447,M0Q,0.6943069306930693,1616
name_repetition,weights_relief_vs_inert,random,0.6007425742574257,0.010344187545912776,M0Q,0.6361386138613861,1616
name_repetition,weights_relief_vs_inert,unsteered,0.6685024752475248,0.008401412622341658,M0Q,0.7202970297029703,1616
name_repetition,weights_relief_vs_inert,works,0.5646039603960397,0.013366457259216744,M0Q,0.6039603960396039,1616
name_repetition,zap_relief_vs_inert,placebo,0.5144801980198019,0.014549041773383703,M0Q,0.6899752475247525,1616
name_repetition,zap_relief_vs_inert,random,0.582394801980198,0.009564018449955932,M0Q,0.573019801980198,1616
name_repetition,zap_relief_vs_inert,unsteered,0.6094678217821782,0.008333489190348577,M0Q,0.6912128712871287,1616
name_repetition,zap_relief_vs_inert,works,0.5572091584158416,0.013670701548399371,M0Q,0.6113861386138614,1616
post_press_relief,costly_relief_vs_inert,placebo,0.47614615802376675,0.04583707854038726,M0Q,0.8842592592592593,216
